Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
negative regulation of neural precursor cell proliferation,GO:2000178,COVID-19,MESH:D000086382,,IL1B,1
growth hormone receptor binding,GO:0005131,COVID-19,MESH:D000086382,,TYK2,1
negative regulation of dendrite development,GO:2000171,COVID-19,MESH:D000086382,,BCL11A,1
neural retina development,GO:0003407,COVID-19,MESH:D000086382,,BSG,1
positive regulation of complement activation,GO:0045917,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of extracellular matrix constituent secretion,GO:0003331,COVID-19,MESH:D000086382,,AGT,1
"negative regulation of complement activation, classical pathway",GO:0045959,COVID-19,MESH:D000086382,,SELE,1
negative regulation of growth rate,GO:0045967,COVID-19,MESH:D000086382,,TMPRSS4,1
positive regulation of protein localization to cell surface,GO:2000010,COVID-19,MESH:D000086382,,TNF,1
actin filament-based process,GO:0030029,COVID-19,MESH:D000086382,,SELE,1
positive regulation of translational initiation by iron,GO:0045994,COVID-19,MESH:D000086382,,TNF,1
actin cytoskeleton organization,GO:0030036,COVID-19,MESH:D000086382,,BTK,1
interleukin-12 receptor complex,GO:0042022,COVID-19,MESH:D000086382,,TYK2,1
DNA endoreduplication,GO:0042023,COVID-19,MESH:D000086382,,BTK,1
mitochondrion,GO:0005739,COVID-19,MESH:D000086382,,OAS1,1
interleukin-2 receptor binding,GO:0005134,COVID-19,MESH:D000086382,,IL2,1
myeloid cell differentiation,GO:0030099,COVID-19,MESH:D000086382,,PLSCR1,1
dihydroceramide glucosyltransferase activity,GO:0102769,COVID-19,MESH:D000086382,,UGCG,1
renal system process,GO:0003014,COVID-19,MESH:D000086382,,AGT,1
skeletal muscle contraction,GO:0003009,COVID-19,MESH:D000086382,,TNF,1
type 2 immune response,GO:0042092,COVID-19,MESH:D000086382,,IL10,2
T cell proliferation,GO:0042098,COVID-19,MESH:D000086382,,IL2,1
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",GO:0006978,COVID-19,MESH:D000086382,,MUC1,1
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",GO:0006977,COVID-19,MESH:D000086382,,MUC1,1
natural killer cell activation,GO:0030101,COVID-19,MESH:D000086382,,IL2,1
cellular defense response,GO:0006968,COVID-19,MESH:D000086382,,CCR2,1
vasopressin secretion,GO:0030103,COVID-19,MESH:D000086382,,AGT,1
"complement activation, classical pathway",GO:0006958,COVID-19,MESH:D000086382,,CRP,1
transport vesicle,GO:0030133,COVID-19,MESH:D000086382,,HCK,1
COPII-coated ER to Golgi transport vesicle,GO:0030134,COVID-19,MESH:D000086382,,F8,1
endocytic vesicle,GO:0030139,COVID-19,MESH:D000086382,,CCL2,1
B cell activation,GO:0042113,COVID-19,MESH:D000086382,,BTK,1
nucleolus,GO:0005730,COVID-19,MESH:D000086382,,PLSCR1,1
monocyte activation,GO:0042117,COVID-19,MESH:D000086382,,CCR2,1
endothelial cell activation,GO:0042118,COVID-19,MESH:D000086382,,CXCL10,1
manganese ion binding,GO:0030145,COVID-19,MESH:D000086382,,ABO,1
regulation of T cell proliferation,GO:0042129,COVID-19,MESH:D000086382,,CD209,1
activation-induced cell death of T cells,GO:0006924,COVID-19,MESH:D000086382,,IL2RA,2
proteoglycan catabolic process,GO:0030167,COVID-19,MESH:D000086382,,BTK,1
low-density lipoprotein particle binding,GO:0030169,COVID-19,MESH:D000086382,,CRP,1
filopodium,GO:0030175,COVID-19,MESH:D000086382,,CRP,1
negative regulation of Wnt signaling pathway,GO:0030178,COVID-19,MESH:D000086382,,BTK,1
stem cell population maintenance,GO:0019827,COVID-19,MESH:D000086382,,CCR2,1
antigen processing and presentation,GO:0019882,COVID-19,MESH:D000086382,,CD209,1
endocytosis,GO:0006897,COVID-19,MESH:D000086382,,CD209,1
interleukin-6 receptor binding,GO:0005138,COVID-19,MESH:D000086382,,IL6,4
cellular sodium ion homeostasis,GO:0006883,COVID-19,MESH:D000086382,,AGT,1
antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0019886,COVID-19,MESH:D000086382,,IL10,2
extrinsic component of plasma membrane,GO:0019897,COVID-19,MESH:D000086382,,TYK2,1
hyaluronan biosynthetic process,GO:0030213,COVID-19,MESH:D000086382,,IL1B,1
polytene chromosome,GO:0005700,COVID-19,MESH:D000086382,,ABO,1
keratinocyte differentiation,GO:0030216,COVID-19,MESH:D000086382,,UGCG,1
neutrophil differentiation,GO:0030223,COVID-19,MESH:D000086382,,IL6,4
macrophage differentiation,GO:0030225,COVID-19,MESH:D000086382,,IL6,4
calcium ion transport,GO:0006816,COVID-19,MESH:D000086382,,CCL3,1
lipid glycosylation,GO:0030259,COVID-19,MESH:D000086382,,ABO,1
primary dendrite,GO:0150001,COVID-19,MESH:D000086382,,CCR2,1
regulation of neuroinflammatory response,GO:0150077,COVID-19,MESH:D000086382,,IL6,4
interleukin-22-mediated signaling pathway,GO:0140865,COVID-19,MESH:D000086382,,IFNAR2,1
protein domain specific binding,GO:0019904,COVID-19,MESH:D000086382,,IL1B,1
type I interferon binding,GO:0019962,COVID-19,MESH:D000086382,,IFNAR2,1
interleukin-2 binding,GO:0019976,COVID-19,MESH:D000086382,,IL2RA,2
positive regulation of cell growth,GO:0030307,COVID-19,MESH:D000086382,,IL2,1
L-fucose catabolic process,GO:0042355,COVID-19,MESH:D000086382,,FUT2,1
regulation of biological quality,GO:0065008,COVID-19,MESH:D000086382,,TNF,1
paraspeckles,GO:0042382,COVID-19,MESH:D000086382,,BCL11A,1
negative regulation of collagen biosynthetic process,GO:0032966,COVID-19,MESH:D000086382,,IL6,4
sarcolemma,GO:0042383,COVID-19,MESH:D000086382,,BSG,1
positive regulation of interleukin-33 production,GO:0150129,COVID-19,MESH:D000086382,,TNF,1
positive regulation of interleukin-17A production,GO:0150153,COVID-19,MESH:D000086382,,BTK,1
axon,GO:0030424,COVID-19,MESH:D000086382,,BSG,1
growth cone,GO:0030426,COVID-19,MESH:D000086382,,CRP,1
regulation of actin cytoskeleton organization,GO:0032956,COVID-19,MESH:D000086382,,HCK,1
glycosphingolipid metabolic process,GO:0006687,COVID-19,MESH:D000086382,,UGCG,1
negative regulation of mononuclear cell proliferation,GO:0032945,COVID-19,MESH:D000086382,,CRP,1
glucosylceramide biosynthetic process,GO:0006679,COVID-19,MESH:D000086382,,UGCG,1
interleukin-7 receptor binding,GO:0005139,COVID-19,MESH:D000086382,,IL7,1
sphingolipid metabolic process,GO:0006665,COVID-19,MESH:D000086382,,UGCG,1
peristalsis,GO:0030432,COVID-19,MESH:D000086382,,AGT,1
negative regulation of superoxide anion generation,GO:0032929,COVID-19,MESH:D000086382,,CRP,1
endopeptidase activity,GO:0004175,COVID-19,MESH:D000086382,,ACE2,15
phosphatidylserine biosynthetic process,GO:0006659,COVID-19,MESH:D000086382,,PLSCR1,1
carboxypeptidase activity,GO:0004180,COVID-19,MESH:D000086382,,ACE2,15
metallocarboxypeptidase activity,GO:0004181,COVID-19,MESH:D000086382,,ACE2,15
hormone metabolic process,GO:0042445,COVID-19,MESH:D000086382,,AGT,1
chemokinesis,GO:0042466,COVID-19,MESH:D000086382,,CCL2,1
melanosome,GO:0042470,COVID-19,MESH:D000086382,,BSG,1
odontogenesis of dentin-containing tooth,GO:0042475,COVID-19,MESH:D000086382,,BSG,1
negative regulation of bone mineralization,GO:0030502,COVID-19,MESH:D000086382,,CCL3,1
basolateral plasma membrane,GO:0016323,COVID-19,MESH:D000086382,,BSG,1
peptide antigen binding,GO:0042605,COVID-19,MESH:D000086382,,CD209,1
CD4 receptor binding,GO:0042609,COVID-19,MESH:D000086382,,PLSCR1,1
glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity,GO:0004380,COVID-19,MESH:D000086382,,ABO,1
fucosylgalactoside 3-alpha-galactosyltransferase activity,GO:0004381,COVID-19,MESH:D000086382,,ABO,1
protein-containing complex binding,GO:0044877,COVID-19,MESH:D000086382,,LZTFL1,2
positive regulation of stress-activated MAPK cascade,GO:0032874,COVID-19,MESH:D000086382,,IL1B,1
cellular response to insulin stimulus,GO:0032869,COVID-19,MESH:D000086382,,CCL2,1
interleukin-10 receptor binding,GO:0005141,COVID-19,MESH:D000086382,,IL10,2
nuclear matrix,GO:0016363,COVID-19,MESH:D000086382,,BCL11A,1
endocytic vesicle membrane,GO:0030666,COVID-19,MESH:D000086382,,ACE2,15
oocyte karyosome formation,GO:0030717,COVID-19,MESH:D000086382,,BTK,1
ovarian fusome organization,GO:0030723,COVID-19,MESH:D000086382,,BTK,1
positive regulation of natural killer cell proliferation,GO:0032819,COVID-19,MESH:D000086382,,TYK2,1
protein processing,GO:0016485,COVID-19,MESH:D000086382,,TMPRSS4,1
drinking behavior,GO:0042756,COVID-19,MESH:D000086382,,AGT,1
oxidoreductase activity,GO:0016491,COVID-19,MESH:D000086382,,F8,1
C-C chemokine receptor activity,GO:0016493,COVID-19,MESH:D000086382,,CCR2,1
negative regulation of apoptotic signaling pathway,GO:2001234,COVID-19,MESH:D000086382,,TNF,1
negative regulation of extrinsic apoptotic signaling pathway,GO:2001237,COVID-19,MESH:D000086382,,IL7,1
interleukin-1 receptor binding,GO:0005149,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of extrinsic apoptotic signaling pathway,GO:2001238,COVID-19,MESH:D000086382,,AGT,1
nuclease activity,GO:0004518,COVID-19,MESH:D000086382,,PLSCR1,1
lead ion binding,GO:0032791,COVID-19,MESH:D000086382,,PLSCR1,1
SWI/SNF complex,GO:0016514,COVID-19,MESH:D000086382,,BCL11A,1
protein homodimerization activity,GO:0042803,COVID-19,MESH:D000086382,,BCL11A,1
regulation of actin filament polymerization,GO:0030833,COVID-19,MESH:D000086382,,BTK,1
protein autoprocessing,GO:0016540,COVID-19,MESH:D000086382,,TMPRSS2,3
granulocyte differentiation,GO:0030851,COVID-19,MESH:D000086382,,CSF3,1
epithelial cell differentiation,GO:0030855,COVID-19,MESH:D000086382,,MUC1,1
cortical cytoskeleton,GO:0030863,COVID-19,MESH:D000086382,,SELE,1
cortical actin cytoskeleton organization,GO:0030866,COVID-19,MESH:D000086382,,TNF,1
plasma membrane phospholipid scrambling,GO:0017121,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of interleukin-21 production,GO:0032745,COVID-19,MESH:D000086382,,IL6,4
negative regulation of myeloid dendritic cell activation,GO:0030886,COVID-19,MESH:D000086382,,IL10,2
positive regulation of interleukin-18 production,GO:0032741,COVID-19,MESH:D000086382,,TNF,1
nuclear body,GO:0016604,COVID-19,MESH:D000086382,,BCL11A,1
positive regulation of interleukin-10 production,GO:0032733,COVID-19,MESH:D000086382,,IL6,4
positive regulation of vascular endothelial growth factor receptor signaling pathway,GO:0030949,COVID-19,MESH:D000086382,,IL1B,1
negative regulation of membrane protein ectodomain proteolysis,GO:0051045,COVID-19,MESH:D000086382,,IL10,2
regulation of secretion,GO:0051046,COVID-19,MESH:D000086382,,TNF,1
positive regulation of interferon-beta production,GO:0032728,COVID-19,MESH:D000086382,,OAS1,1
regulation of DNA-binding transcription factor activity,GO:0051090,COVID-19,MESH:D000086382,,HCK,1
positive regulation of granulocyte macrophage colony-stimulating factor production,GO:0032725,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of fractalkine production,GO:0032724,COVID-19,MESH:D000086382,,TNF,1
hexosyltransferase activity,GO:0016758,COVID-19,MESH:D000086382,,ABO,1
ATPase binding,GO:0051117,COVID-19,MESH:D000086382,,TMEM106B,1
negative regulation of interleukin-8 production,GO:0032717,COVID-19,MESH:D000086382,,IL10,2
positive regulation of NK T cell proliferation,GO:0051142,COVID-19,MESH:D000086382,,TYK2,1
negative regulation of interleukin-18 production,GO:0032701,COVID-19,MESH:D000086382,,IL10,2
smooth muscle cell differentiation,GO:0051145,COVID-19,MESH:D000086382,,AGT,1
positive regulation of nitrogen compound metabolic process,GO:0051173,COVID-19,MESH:D000086382,,TNF,1
response to Gram-negative bacterium,GO:0140460,COVID-19,MESH:D000086382,,TNF,1
response to Gram-positive bacterium,GO:0140459,COVID-19,MESH:D000086382,,IL6,4
negative regulation of interleukin-12 production,GO:0032695,COVID-19,MESH:D000086382,,IL10,2
serine-type endopeptidase inhibitor activity,GO:0004867,COVID-19,MESH:D000086382,,AGT,1
negative regulation of interleukin-1 production,GO:0032692,COVID-19,MESH:D000086382,,IL10,2
positive regulation of protein transport,GO:0051222,COVID-19,MESH:D000086382,,TNF,1
negative regulation of type II interferon production,GO:0032689,COVID-19,MESH:D000086382,,IL10,2
regulation of multicellular organismal process,GO:0051239,COVID-19,MESH:D000086382,,TNF,1
positive regulation of multicellular organismal process,GO:0051240,COVID-19,MESH:D000086382,,IL6,4
negative regulation of chemokine production,GO:0032682,COVID-19,MESH:D000086382,,IL6,4
positive regulation of protein metabolic process,GO:0051247,COVID-19,MESH:D000086382,,AGT,1
protein polymerization,GO:0051258,COVID-19,MESH:D000086382,,CRP,1
regulation of interleukin-8 production,GO:0032677,COVID-19,MESH:D000086382,,CRP,1
interferon receptor activity,GO:0004904,COVID-19,MESH:D000086382,,IL10RB,1
type I interferon receptor activity,GO:0004905,COVID-19,MESH:D000086382,,IFNAR2,1
interleukin-2 receptor activity,GO:0004911,COVID-19,MESH:D000086382,,IL2RA,2
transcription by RNA polymerase II,GO:0006366,COVID-19,MESH:D000086382,,IL2,1
interleukin-10 receptor activity,GO:0004920,COVID-19,MESH:D000086382,,IL10RB,1
negative regulation of oxidative phosphorylation,GO:0090324,COVID-19,MESH:D000086382,,TNF,1
G protein-coupled receptor activity,GO:0004930,COVID-19,MESH:D000086382,,CCR2,1
protein sumoylation,GO:0016925,COVID-19,MESH:D000086382,,BCL11A,1
chemokine receptor activity,GO:0004950,COVID-19,MESH:D000086382,,CCR2,1
interleukin-1 beta production,GO:0032611,COVID-19,MESH:D000086382,,IL1B,1
type II interferon production,GO:0032609,COVID-19,MESH:D000086382,,TNF,1
transcription regulatory region nucleic acid binding,GO:0001067,COVID-19,MESH:D000086382,,BCL11A,1
positive regulation of hydrolase activity,GO:0051345,COVID-19,MESH:D000086382,,TMEM106B,1
DNA dealkylation involved in DNA repair,GO:0006307,COVID-19,MESH:D000086382,,AGT,1
negative regulation of neurotrophin TRK receptor signaling pathway,GO:0051387,COVID-19,MESH:D000086382,,AGT,1
positive regulation of L-lysine import across plasma membrane,GO:1905010,COVID-19,MESH:D000086382,,AGT,1
regulation of membrane lipid metabolic process,GO:1905038,COVID-19,MESH:D000086382,,TNF,1
neuron apoptotic process,GO:0051402,COVID-19,MESH:D000086382,,AGT,1
positive regulation of calcineurin-NFAT signaling cascade,GO:0070886,COVID-19,MESH:D000086382,,TNF,1
stress-activated MAPK cascade,GO:0051403,COVID-19,MESH:D000086382,,AGT,1
phosphatidylserine flippase activity,GO:0140346,COVID-19,MESH:D000086382,,ATP11A,1
aminophospholipid translocation,GO:0140331,COVID-19,MESH:D000086382,,ATP11A,1
ATPase-coupled intramembrane lipid transporter activity,GO:0140326,COVID-19,MESH:D000086382,,ATP11A,1
"DNA-binding transcription repressor activity, RNA polymerase II-specific",GO:0001227,COVID-19,MESH:D000086382,,BCL11A,1
"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of protein targeting to membrane,GO:0090314,COVID-19,MESH:D000086382,,CCL2,1
tertiary granule membrane,GO:0070821,COVID-19,MESH:D000086382,,ATP11A,1
response to progesterone,GO:0032570,COVID-19,MESH:D000086382,,CCL2,1
DNA repair,GO:0006281,COVID-19,MESH:D000086382,,AGT,1
response to cAMP,GO:0051591,COVID-19,MESH:D000086382,,BSG,1
response to calcium ion,GO:0051592,COVID-19,MESH:D000086382,,IL6,4
response to cyclosporin A,GO:1905237,COVID-19,MESH:D000086382,,CCL2,1
response to retinoic acid,GO:0032526,COVID-19,MESH:D000086382,,ABO,1
"response to 3,3',5-triiodo-L-thyronine",GO:1905242,COVID-19,MESH:D000086382,,TNF,1
regulation of intestinal epithelial cell development,GO:1905298,COVID-19,MESH:D000086382,,IL10,2
response to electrical stimulus,GO:0051602,COVID-19,MESH:D000086382,,IL6,4
endoplasmic reticulum localization,GO:0051643,COVID-19,MESH:D000086382,,BSG,1
DNA-binding transcription factor binding,GO:0140297,COVID-19,MESH:D000086382,,BCL11A,1
nucleus localization,GO:0051647,COVID-19,MESH:D000086382,,BSG,1
positive regulation of nitric-oxide synthase biosynthetic process,GO:0051770,COVID-19,MESH:D000086382,,CCL2,1
response to peptidoglycan,GO:0032494,COVID-19,MESH:D000086382,,IL6,4
positive regulation of cell division,GO:0051781,COVID-19,MESH:D000086382,,IL1B,1
response to cholesterol,GO:0070723,COVID-19,MESH:D000086382,,CCL3,1
positive regulation of hair follicle development,GO:0051798,COVID-19,MESH:D000086382,,TNF,1
ovarian follicle rupture,GO:0001543,COVID-19,MESH:D000086382,,AGT,1
regulation of cell growth,GO:0001558,COVID-19,MESH:D000086382,,AGT,1
blood vessel development,GO:0001568,COVID-19,MESH:D000086382,,AGT,1
regulation of macrophage migration,GO:1905521,COVID-19,MESH:D000086382,,CCR2,1
lysosome localization,GO:0032418,COVID-19,MESH:D000086382,,TMEM106B,1
negative regulation of vascular endothelial cell proliferation,GO:1905563,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of L-arginine import across plasma membrane,GO:1905589,COVID-19,MESH:D000086382,,AGT,1
fibrillar center,GO:0001650,COVID-19,MESH:D000086382,,CCR2,1
branching involved in ureteric bud morphogenesis,GO:0001658,COVID-19,MESH:D000086382,,AGT,1
fever generation,GO:0001660,COVID-19,MESH:D000086382,,IL1B,1
G protein-coupled receptor binding,GO:0001664,COVID-19,MESH:D000086382,,CCL2,1
regulation of calcium ion transport,GO:0051924,COVID-19,MESH:D000086382,,AGT,1
negative regulation of leukocyte proliferation,GO:0070664,COVID-19,MESH:D000086382,,BTK,1
positive regulation of calcium ion transport,GO:0051928,COVID-19,MESH:D000086382,,CCL3,1
SH3 domain binding,GO:0017124,COVID-19,MESH:D000086382,,PLSCR1,1
regulation of sensory perception of pain,GO:0051930,COVID-19,MESH:D000086382,,CCL3,1
positive regulation of amino acid transport,GO:0051957,COVID-19,MESH:D000086382,,ACE2,15
regulation of synapse assembly,GO:0051963,COVID-19,MESH:D000086382,,ICAM5,1
"regulation of synaptic transmission, glutamatergic",GO:0051966,COVID-19,MESH:D000086382,,TNF,1
regulation of transmission of nerve impulse,GO:0051969,COVID-19,MESH:D000086382,,AGT,1
positive regulation of transmission of nerve impulse,GO:0051971,COVID-19,MESH:D000086382,,IL6,4
response to gold nanoparticle,GO:1990268,COVID-19,MESH:D000086382,,TNF,1
retina development in camera-type eye,GO:0060041,COVID-19,MESH:D000086382,,F8,1
positive regulation of prostaglandin secretion,GO:0032308,COVID-19,MESH:D000086382,,IL1B,1
mammary gland involution,GO:0060056,COVID-19,MESH:D000086382,,CCL2,1
regulation of lysosome organization,GO:1905671,COVID-19,MESH:D000086382,,TMEM106B,1
2'-5'-oligoadenylate synthetase activity,GO:0001730,COVID-19,MESH:D000086382,,OAS1,1
cell-cell recognition,GO:0009988,COVID-19,MESH:D000086382,,CD209,1
photoreceptor outer segment,GO:0001750,COVID-19,MESH:D000086382,,BSG,1
regulation of signal transduction,GO:0009966,COVID-19,MESH:D000086382,,UGCG,1
anterior/posterior pattern specification,GO:0009952,COVID-19,MESH:D000086382,,BTK,1
positive regulation of NLRP3 inflammasome complex assembly,GO:1900227,COVID-19,MESH:D000086382,,BTK,1
negative regulation of amyloid-beta clearance,GO:1900222,COVID-19,MESH:D000086382,,TNF,1
dendrite self-avoidance,GO:0070593,COVID-19,MESH:D000086382,,BSG,1
cell activation,GO:0001775,COVID-19,MESH:D000086382,,CCL3,1
neutrophil apoptotic process,GO:0001781,COVID-19,MESH:D000086382,,IL6,4
C-fiber,GO:0044299,COVID-19,MESH:D000086382,,CCL2,1
phospholipid scramblase activity,GO:0017128,COVID-19,MESH:D000086382,,PLSCR1,1
phosphotyrosine residue binding,GO:0001784,COVID-19,MESH:D000086382,,HCK,1
maternal process involved in parturition,GO:0060137,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of L-proline import across plasma membrane,GO:1905737,COVID-19,MESH:D000086382,,ACE2,15
interleukin-8 receptor binding,GO:0005153,COVID-19,MESH:D000086382,,CXCL8,1
positive regulation of type III hypersensitivity,GO:0001805,COVID-19,MESH:D000086382,,BTK,1
positive regulation of type I hypersensitivity,GO:0001812,COVID-19,MESH:D000086382,,BTK,1
kidney development,GO:0001822,COVID-19,MESH:D000086382,,AGT,1
complement component C1q complex binding,GO:0001849,COVID-19,MESH:D000086382,,CRP,1
positive regulation of protein localization to nucleus,GO:1900182,COVID-19,MESH:D000086382,,TYK2,1
interleukin-1-mediated signaling pathway,GO:0070498,COVID-19,MESH:D000086382,,IL1B,1
oligosaccharide binding,GO:0070492,COVID-19,MESH:D000086382,,SELE,1
response to yeast,GO:0001878,COVID-19,MESH:D000086382,,IL6,4
monocyte aggregation,GO:0070487,COVID-19,MESH:D000086382,,IL1B,1
phagocytic cup,GO:0001891,COVID-19,MESH:D000086382,,TNF,1
epidermal growth factor receptor binding,GO:0005154,COVID-19,MESH:D000086382,,PLSCR1,1
uterine smooth muscle contraction,GO:0070471,COVID-19,MESH:D000086382,,AGT,1
hematopoietic stem cell differentiation,GO:0060218,COVID-19,MESH:D000086382,,IL6,4
positive regulation of chromosome separation,GO:1905820,COVID-19,MESH:D000086382,,PLSCR1,1
regulation of response to external stimulus,GO:0032101,COVID-19,MESH:D000086382,,F8,1
response to fructose,GO:0009750,COVID-19,MESH:D000086382,,TNF,1
response to carbohydrate,GO:0009743,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of leukocyte mediated cytotoxicity,GO:0001912,COVID-19,MESH:D000086382,,CCL2,1
positive regulation of protein kinase C activity,GO:1900020,COVID-19,MESH:D000086382,,AGT,1
photoreceptor inner segment,GO:0001917,COVID-19,MESH:D000086382,,BSG,1
tumor necrosis factor receptor binding,GO:0005164,COVID-19,MESH:D000086382,,TNF,1
regulation of protein phosphorylation,GO:0001932,COVID-19,MESH:D000086382,,TNF,1
negative regulation of protein phosphorylation,GO:0001933,COVID-19,MESH:D000086382,,IL2,1
negative regulation of ERK1 and ERK2 cascade,GO:0070373,COVID-19,MESH:D000086382,,ACE2,15
regulation of ERK1 and ERK2 cascade,GO:0070372,COVID-19,MESH:D000086382,,IL1B,1
ERK1 and ERK2 cascade,GO:0070371,COVID-19,MESH:D000086382,,AGT,1
regulation of endothelial cell proliferation,GO:0001936,COVID-19,MESH:D000086382,,FUT2,1
positive regulation of cytokine-mediated signaling pathway,GO:0001961,COVID-19,MESH:D000086382,,IL7,1
regulation of microglial cell activation,GO:1903978,COVID-19,MESH:D000086382,,IL6,4
"alpha-1,3-galactosyltransferase activity",GO:0001962,COVID-19,MESH:D000086382,,ABO,1
negative regulation of protein binding,GO:0032091,COVID-19,MESH:D000086382,,PLSCR1,1
regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,COVID-19,MESH:D000086382,,AGT,1
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure,GO:0001998,COVID-19,MESH:D000086382,,AGT,1
renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,GO:0001999,COVID-19,MESH:D000086382,,AGT,1
phospholipid-translocating ATPase complex,GO:1990531,COVID-19,MESH:D000086382,,ATP11A,1
positive regulation of viral life cycle,GO:1903902,COVID-19,MESH:D000086382,,CD209,1
interleukin-28 receptor complex,GO:0032002,COVID-19,MESH:D000086382,,IL10RB,1
negative regulation of cytokine activity,GO:0060302,COVID-19,MESH:D000086382,,IL10,2
aldosterone secretion,GO:0035932,COVID-19,MESH:D000086382,,AGT,1
CD40 receptor binding,GO:0005174,COVID-19,MESH:D000086382,,TNF,1
negative regulation of type I interferon-mediated signaling pathway,GO:0060339,COVID-19,MESH:D000086382,,OAS1,1
response to immobilization stress,GO:0035902,COVID-19,MESH:D000086382,,IL1B,1
positive regulation of CoA-transferase activity,GO:1905920,COVID-19,MESH:D000086382,,AGT,1
negative regulation of cell adhesion molecule production,GO:0060354,COVID-19,MESH:D000086382,,CXCL8,1
response to nematode,GO:0009624,COVID-19,MESH:D000086382,,ABO,1
positive regulation of cell adhesion molecule production,GO:0060355,COVID-19,MESH:D000086382,,IL1B,1
regulation of Fc receptor mediated stimulatory signaling pathway,GO:0060368,COVID-19,MESH:D000086382,,PLSCR1,1
positive regulation of amyloid-beta formation,GO:1902004,COVID-19,MESH:D000086382,,TNF,1
response to L-glutamate,GO:1902065,COVID-19,MESH:D000086382,,TNF,1
negative regulation of tissue remodeling,GO:0034104,COVID-19,MESH:D000086382,,AGT,1
positive regulation of tissue remodeling,GO:0034105,COVID-19,MESH:D000086382,,IL2,1
cellular response to prolactin,GO:1990646,COVID-19,MESH:D000086382,,IL6,4
negative regulation of heterotypic cell-cell adhesion,GO:0034115,COVID-19,MESH:D000086382,,IL10,2
negative regulation of dendrite extension,GO:1903860,COVID-19,MESH:D000086382,,BCL11A,1
response to X-ray,GO:0010165,COVID-19,MESH:D000086382,,IL7,1
toll-like receptor 4 signaling pathway,GO:0034142,COVID-19,MESH:D000086382,,OAS1,1
response to ozone,GO:0010193,COVID-19,MESH:D000086382,,IL1B,1
regulation of renal sodium excretion,GO:0035813,COVID-19,MESH:D000086382,,AGT,1
branching involved in salivary gland morphogenesis,GO:0060445,COVID-19,MESH:D000086382,,IL6,4
positive regulation of cardiac muscle contraction,GO:0060452,COVID-19,MESH:D000086382,,ACE2,15
hormone activity,GO:0005179,COVID-19,MESH:D000086382,,AGT,1
negative regulation of adiponectin secretion,GO:0070164,COVID-19,MESH:D000086382,,IL1B,1
anchoring junction,GO:0070161,COVID-19,MESH:D000086382,,HCK,1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:1902166,COVID-19,MESH:D000086382,,MUC1,1
positive regulation of I-kappaB phosphorylation,GO:1903721,COVID-19,MESH:D000086382,,TNF,1
interleukin-27-mediated signaling pathway,GO:0070106,COVID-19,MESH:D000086382,,OAS1,1
interleukin-6-mediated signaling pathway,GO:0070102,COVID-19,MESH:D000086382,,IL6,4
response to organonitrogen compound,GO:0010243,COVID-19,MESH:D000086382,,IL1B,1
protein kinase B signaling,GO:0043491,COVID-19,MESH:D000086382,,TNF,1
interleukin-12-mediated signaling pathway,GO:0035722,COVID-19,MESH:D000086382,,TYK2,1
chemokine (C-C motif) ligand 7 binding,GO:0035717,COVID-19,MESH:D000086382,,CCR2,1
chemokine (C-C motif) ligand 12 binding,GO:0035716,COVID-19,MESH:D000086382,,CCR2,1
chemokine (C-C motif) ligand 2 binding,GO:0035715,COVID-19,MESH:D000086382,,CCR2,1
T-helper 17 cell chemotaxis,GO:0035705,COVID-19,MESH:D000086382,,CCR2,1
positive regulation of amide metabolic process,GO:0034250,COVID-19,MESH:D000086382,,TNF,1
positive regulation of vitamin D biosynthetic process,GO:0060557,COVID-19,MESH:D000086382,,TNF,1
interleukin-23 receptor complex,GO:0072536,COVID-19,MESH:D000086382,,TYK2,1
response to cold,GO:0009409,COVID-19,MESH:D000086382,,AGT,1
T-helper 17 cell lineage commitment,GO:0072540,COVID-19,MESH:D000086382,,IL6,4
hepatocyte proliferation,GO:0072574,COVID-19,MESH:D000086382,,IL6,4
regulation of glucagon secretion,GO:0070092,COVID-19,MESH:D000086382,,IL6,4
glucagon secretion,GO:0070091,COVID-19,MESH:D000086382,,IL6,4
extracellular exosome,GO:0070062,COVID-19,MESH:D000086382,,MUC1,1
positive regulation of sprouting angiogenesis,GO:1903672,COVID-19,MESH:D000086382,,IL10,2
